"valor","tipo","categoria","observacao","createdAt"
50,"E","5cd56ad732f36d3699dd1f44","recibo de pagamento","2019-05-10T12:13:25.970Z"
50,"E","5cd56ad732f36d3699dd1f44","recibo de pagamento","2019-05-10T12:13:30.159Z"
323,"E","5cd56ad732f36d3699dd1f44","","2019-05-10T12:20:19.206Z"
80,"E","5cd56ad732f36d3699dd1f44","aa","2019-05-10T12:28:44.945Z"
80,"E","5cd56ad732f36d3699dd1f44","aa","2019-05-10T12:28:48.748Z"
2,"E","5cd56ad732f36d3699dd1f44","","2019-05-10T12:29:05.011Z"
2,"E","5cd56ad732f36d3699dd1f44","","2019-05-10T12:29:10.378Z"
233,"S","5cd56ad732f36d3699dd1f44","","2019-05-10T12:30:16.455Z"
54,"E","5cd56ad732f36d3699dd1f44","testte","2019-05-10T12:30:27.019Z"
70,"S","5cd56ad732f36d3699dd1f44","","2019-05-10T12:31:43.535Z"
33,"E","5cd56ad732f36d3699dd1f44","","2019-05-10T12:38:51.151Z"
44,"S","5cd56ad732f36d3699dd1f44","","2019-05-10T12:57:51.692Z"
